production_id,date,sku,output_quantity,downtime_hours,downtime_reason
PR000920,2021-03-06,SKU0028,1445,4.01,Maintenance
PR000921,2021-06-15,SKU0027,1317,1.85,None
PR000922,2024-05-15,SKU0001,1269,2.6,Material Shortage
PR000923,2019-07-29,SKU0019,1724,0.24,Machine Failure
PR000924,2021-08-25,SKU0028,1579,1.77,Machine Failure
PR000925,2020-04-16,SKU0027,85,2.2,Maintenance
PR000926,2021-07-11,SKU0020,555,0.45,None
PR000927,2019-05-17,SKU0029,1865,4.24,Labor Issue
PR000928,2020-01-02,SKU0030,1398,0.43,Material Shortage
PR000929,2019-07-03,SKU0017,1469,0.75,Maintenance
PR000930,2022-10-30,SKU0005,377,1.94,Machine Failure
PR000931,2020-06-20,SKU0026,1413,2.03,None
PR000932,2023-05-22,SKU0003,1680,2.4,None
PR000933,2022-06-27,SKU0002,1074,0.24,Maintenance
PR000934,2022-01-01,SKU0003,241,3.79,Labor Issue
PR000935,2022-07-29,SKU0008,1317,1.52,Machine Failure
PR000936,2021-07-04,SKU0016,919,1.27,Maintenance
PR000937,2019-06-01,SKU0006,1586,7.94,Labor Issue
PR000938,2021-10-25,SKU0013,265,2.7,None
PR000939,2022-05-03,SKU0030,1143,0.25,Material Shortage
PR000940,2024-05-31,SKU0023,711,2.83,Machine Failure
PR000941,2019-09-28,SKU0028,1940,0.2,Machine Failure
PR000942,2022-04-01,SKU0022,1271,0.06,Labor Issue
PR000943,2020-04-04,SKU0022,69,1.03,Maintenance
PR000944,2019-04-15,SKU0016,1876,10.1,None
PR000945,2023-09-07,SKU0028,56,0.38,Labor Issue
PR000946,2020-03-09,SKU0016,1405,2.23,Material Shortage
PR000947,2019-05-20,SKU0003,38,0.38,Material Shortage
PR000948,2023-02-03,SKU0028,800,2.58,Material Shortage
PR000949,2019-03-28,SKU0013,1466,1.41,Labor Issue
PR000950,2023-09-08,SKU0014,1041,2.28,None
PR000951,2019-05-09,SKU0008,1975,0.45,Machine Failure
PR000952,2022-06-23,SKU0012,731,2.74,Maintenance
PR000953,2023-05-21,SKU0023,824,10.86,Machine Failure
PR000954,2020-10-31,SKU0023,755,2.19,None
PR000955,2019-05-29,SKU0022,351,1.36,Machine Failure
PR000956,2021-09-11,SKU0021,1995,5.13,Labor Issue
PR000957,2021-05-01,SKU0026,1839,0.03,Material Shortage
PR000958,2022-12-27,SKU0008,1321,2.62,None
PR000959,2020-09-19,SKU0021,282,4.39,None
PR000960,2023-02-01,SKU0025,1609,0.13,Machine Failure
PR000961,2024-08-06,SKU0009,109,1.2,Labor Issue
PR000962,2021-06-02,SKU0001,1016,0.46,Machine Failure
PR000963,2023-11-24,SKU0006,1203,1.67,Machine Failure
PR000964,2019-09-07,SKU0023,1961,2.1,None
PR000965,2021-08-05,SKU0019,543,0.72,Machine Failure
PR000966,2021-09-01,SKU0023,1769,1.23,Material Shortage
PR000967,2022-08-18,SKU0011,1817,0.66,Machine Failure
PR000968,2021-09-10,SKU0011,24,0.92,Material Shortage
PR000969,2021-06-07,SKU0023,842,0.35,None
PR000970,2024-10-18,SKU0030,790,4.34,Labor Issue
PR000971,2021-05-24,SKU0013,737,0.02,Material Shortage
PR000972,2022-08-19,SKU0011,56,4.28,Labor Issue
PR000973,2020-04-15,SKU0018,179,1.7,Labor Issue
PR000974,2024-06-10,SKU0023,231,0.81,Material Shortage
PR000975,2019-04-01,SKU0015,1917,2.57,None
PR000976,2020-06-13,SKU0001,342,1.42,Maintenance
PR000977,2020-10-22,SKU0021,476,1.38,Labor Issue
PR000978,2021-01-08,SKU0025,1822,0.23,Labor Issue
PR000979,2021-05-21,SKU0007,575,0.99,None
PR000980,2023-08-14,SKU0023,454,0.55,None
PR000981,2019-07-11,SKU0027,1255,0.03,Machine Failure
PR000982,2024-06-09,SKU0013,288,0.89,None
PR000983,2024-12-25,SKU0012,1236,0.19,Labor Issue
PR000984,2019-12-11,SKU0018,257,0.59,Material Shortage
PR000985,2021-10-05,SKU0024,529,0.19,Maintenance
PR000986,2019-07-22,SKU0019,686,0.21,Machine Failure
PR000987,2020-07-26,SKU0015,928,0.44,Material Shortage
PR000988,2019-07-11,SKU0008,228,17.6,Maintenance
PR000989,2024-08-14,SKU0019,1249,0.0,Maintenance
PR000990,2024-03-28,SKU0010,595,2.04,Maintenance
PR000991,2023-09-13,SKU0007,1826,0.3,Material Shortage
PR000992,2019-11-07,SKU0018,434,5.07,Machine Failure
PR000993,2024-10-04,SKU0016,881,0.2,Machine Failure
PR000994,2020-03-18,SKU0020,1020,6.2,Maintenance
PR000995,2022-06-14,SKU0027,1781,1.89,Material Shortage
PR000996,2021-05-19,SKU0006,401,0.0,Maintenance
PR000997,2020-08-07,SKU0027,621,4.49,None
PR000998,2023-05-14,SKU0009,1789,1.48,Machine Failure
PR000999,2023-03-18,SKU0021,87,0.61,Labor Issue
PR001000,2019-12-26,SKU0013,583,2.92,Maintenance
PR001001,2023-09-20,SKU0025,1916,5.23,None
PR001002,2024-09-08,SKU0021,1565,1.32,Machine Failure
PR001003,2023-12-08,SKU0026,1707,0.76,Material Shortage
PR001004,2024-07-04,SKU0008,308,3.11,Machine Failure
PR001005,2024-11-25,SKU0016,905,2.29,Material Shortage
PR001006,2021-04-23,SKU0013,342,4.39,Material Shortage
PR001007,2023-06-14,SKU0013,435,2.36,Maintenance
PR001008,2021-06-09,SKU0017,176,0.56,Maintenance
PR001009,2024-06-14,SKU0023,138,5.37,Machine Failure
PR001010,2024-06-05,SKU0020,193,0.22,None
PR001011,2021-08-17,SKU0005,1209,0.62,Machine Failure
PR001012,2023-01-08,SKU0022,1241,1.47,Labor Issue
PR001013,2023-01-01,SKU0021,1187,1.67,Material Shortage
PR001014,2021-01-01,SKU0028,1184,0.03,Material Shortage
PR001015,2020-08-28,SKU0017,942,3.03,Maintenance
PR001016,2020-09-06,SKU0028,524,0.9,None
PR001017,2024-06-27,SKU0009,1831,1.04,Maintenance
PR001018,2023-09-16,SKU0002,1624,3.31,Labor Issue
PR001019,2020-11-04,SKU0025,1859,0.95,Machine Failure
PR001020,2022-06-24,SKU0026,1065,0.1,Machine Failure
PR001021,2023-05-07,SKU0018,914,0.39,None
PR001022,2023-05-31,SKU0009,209,6.24,Maintenance
PR001023,2021-06-15,SKU0006,740,0.15,Maintenance
PR001024,2023-01-02,SKU0011,861,0.88,Labor Issue
PR001025,2019-10-05,SKU0025,1298,1.4,Machine Failure
PR001026,2020-07-05,SKU0029,953,1.36,Maintenance
PR001027,2023-06-25,SKU0006,1302,0.01,None
PR001028,2024-11-28,SKU0006,1274,1.39,Machine Failure
PR001029,2021-01-30,SKU0013,1333,0.97,Labor Issue
PR001030,2022-12-20,SKU0011,1743,7.16,None
PR001031,2020-02-09,SKU0014,832,0.35,Material Shortage
PR001032,2022-09-20,SKU0002,139,0.87,Labor Issue
PR001033,2022-05-17,SKU0008,791,1.09,None
PR001034,2019-01-22,SKU0003,545,0.99,Maintenance
PR001035,2020-11-08,SKU0023,1844,2.19,Material Shortage
PR001036,2024-07-21,SKU0021,1016,0.49,Labor Issue
PR001037,2022-05-16,SKU0003,1927,0.5,Maintenance
PR001038,2024-08-17,SKU0001,1553,2.61,Material Shortage
PR001039,2023-12-14,SKU0024,56,1.39,Machine Failure
PR001040,2020-06-12,SKU0019,111,1.07,Maintenance
PR001041,2024-07-30,SKU0018,4,0.37,None
PR001042,2023-08-04,SKU0017,1433,0.42,Labor Issue
PR001043,2020-10-18,SKU0020,1437,0.02,Material Shortage
PR001044,2019-06-15,SKU0029,1205,0.19,Maintenance
PR001045,2021-04-28,SKU0024,1036,1.63,Machine Failure
PR001046,2020-05-10,SKU0013,1362,4.45,Labor Issue
PR001047,2020-08-12,SKU0003,1820,0.68,Labor Issue
PR001048,2020-03-04,SKU0030,1282,0.79,Maintenance
PR001049,2019-06-12,SKU0001,89,0.25,Machine Failure
PR001050,2022-06-16,SKU0004,615,0.98,Material Shortage
PR001051,2019-03-13,SKU0025,890,0.08,Maintenance
PR001052,2020-10-16,SKU0013,697,4.99,Material Shortage
PR001053,2019-09-26,SKU0017,1273,2.24,Labor Issue
PR001054,2023-11-12,SKU0028,1278,9.37,Material Shortage
PR001055,2022-06-22,SKU0030,1611,4.29,Machine Failure
PR001056,2021-10-12,SKU0011,897,1.28,None
PR001057,2021-12-19,SKU0002,970,1.47,Machine Failure
PR001058,2019-01-06,SKU0025,1131,0.42,Material Shortage
PR001059,2021-09-08,SKU0016,667,1.24,Maintenance
PR001060,2020-02-11,SKU0002,593,4.67,Labor Issue
PR001061,2024-05-07,SKU0029,588,0.1,None
PR001062,2024-09-04,SKU0019,484,3.98,Maintenance
PR001063,2021-09-12,SKU0023,981,0.83,Maintenance
PR001064,2020-01-25,SKU0019,971,4.6,Machine Failure
PR001065,2020-12-10,SKU0025,1281,5.66,Material Shortage
PR001066,2023-01-11,SKU0016,638,2.22,Machine Failure
PR001067,2021-01-23,SKU0022,996,2.18,Material Shortage
PR001068,2022-11-12,SKU0019,1926,1.21,Machine Failure
PR001069,2022-06-26,SKU0009,281,3.61,Maintenance
PR001070,2020-06-09,SKU0001,985,6.52,Labor Issue
PR001071,2023-01-25,SKU0010,1111,2.98,Material Shortage
PR001072,2024-08-22,SKU0019,1227,1.95,None
PR001073,2020-07-09,SKU0001,15,1.87,None
PR001074,2019-01-19,SKU0002,1174,3.79,Maintenance
PR001075,2020-07-28,SKU0016,935,1.56,Machine Failure
PR001076,2021-09-30,SKU0012,253,3.26,Machine Failure
PR001077,2024-04-22,SKU0008,1211,1.42,Maintenance
PR001078,2024-04-23,SKU0023,328,0.13,None
PR001079,2023-06-24,SKU0018,543,0.97,None
PR001080,2023-08-26,SKU0002,782,1.18,Machine Failure
PR001081,2024-12-09,SKU0025,996,0.31,Material Shortage
PR001082,2020-03-07,SKU0029,1420,0.22,Labor Issue
PR001083,2024-09-22,SKU0013,1540,1.53,Material Shortage
PR001084,2024-03-10,SKU0006,1482,0.18,None
PR001085,2024-04-27,SKU0021,1353,0.72,Material Shortage
PR001086,2022-09-02,SKU0026,1843,2.73,Labor Issue
PR001087,2019-05-25,SKU0006,844,6.67,Material Shortage
PR001088,2021-12-09,SKU0009,1192,2.53,Material Shortage
PR001089,2021-12-24,SKU0016,1716,9.82,Material Shortage
PR001090,2021-03-10,SKU0011,365,2.4,Material Shortage
PR001091,2022-02-25,SKU0007,1201,0.7,Maintenance
PR001092,2024-05-10,SKU0010,654,2.23,None
PR001093,2020-04-07,SKU0010,1385,2.42,Labor Issue
PR001094,2023-11-10,SKU0030,759,0.93,None
PR001095,2024-08-07,SKU0025,638,0.04,Maintenance
PR001096,2021-03-18,SKU0020,1798,2.43,Maintenance
PR001097,2019-07-06,SKU0018,1063,0.04,Maintenance
PR001098,2023-10-10,SKU0028,923,1.99,Maintenance
PR001099,2021-01-01,SKU0024,415,0.36,Material Shortage
PR001100,2024-04-19,SKU0020,1378,1.67,None
PR001101,2022-04-28,SKU0029,254,1.4,Machine Failure
PR001102,2022-11-12,SKU0009,1166,0.03,Labor Issue
PR001103,2020-03-04,SKU0015,1775,0.9,Maintenance
PR001104,2022-07-31,SKU0004,1763,1.84,None
PR001105,2022-05-02,SKU0008,1876,3.78,Maintenance
PR001106,2022-08-03,SKU0009,709,4.39,Maintenance
PR001107,2021-02-09,SKU0013,576,1.32,Maintenance
PR001108,2021-01-27,SKU0009,899,2.61,Maintenance
PR001109,2019-05-16,SKU0026,10,0.76,Maintenance
PR001110,2021-03-02,SKU0004,1643,0.84,Labor Issue
PR001111,2019-06-20,SKU0017,25,0.43,None
PR001112,2023-04-30,SKU0016,956,1.65,Maintenance
PR001113,2021-08-19,SKU0015,420,0.76,Maintenance
PR001114,2021-05-25,SKU0003,1686,0.18,Maintenance
PR001115,2019-04-13,SKU0025,1244,2.31,Maintenance
PR001116,2021-09-28,SKU0020,1876,2.46,Material Shortage
PR001117,2022-02-22,SKU0005,495,0.89,Material Shortage
PR001118,2023-01-21,SKU0023,1260,0.16,Machine Failure
PR001119,2020-10-19,SKU0005,236,1.11,Maintenance
PR001120,2022-05-05,SKU0020,1008,1.17,Machine Failure
PR001121,2020-02-27,SKU0015,218,2.21,Labor Issue
PR001122,2019-06-20,SKU0018,1510,0.76,Machine Failure
PR001123,2020-03-28,SKU0015,1959,2.3,None
PR001124,2024-05-29,SKU0002,460,4.1,Material Shortage
PR001125,2023-07-16,SKU0029,662,0.54,Material Shortage
PR001126,2024-08-15,SKU0013,634,7.72,Maintenance
PR001127,2019-10-15,SKU0004,1167,0.98,Maintenance
PR001128,2023-06-30,SKU0010,989,0.62,Labor Issue
PR001129,2022-12-18,SKU0013,188,1.09,Labor Issue
PR001130,2024-03-28,SKU0010,254,0.2,None
PR001131,2020-08-30,SKU0029,67,0.27,Maintenance
PR001132,2020-04-01,SKU0009,615,1.07,Maintenance
PR001133,2023-10-31,SKU0008,335,2.87,Labor Issue
PR001134,2022-05-10,SKU0003,670,4.61,Labor Issue
PR001135,2022-05-20,SKU0016,820,2.19,Labor Issue
PR001136,2021-10-26,SKU0014,873,0.22,Material Shortage
PR001137,2020-03-22,SKU0009,1432,2.23,Machine Failure
PR001138,2021-04-14,SKU0030,299,2.02,Machine Failure
PR001139,2021-03-21,SKU0021,1931,3.28,Maintenance
PR001140,2022-11-25,SKU0011,1625,3.49,Material Shortage
PR001141,2022-11-12,SKU0003,356,4.05,Labor Issue
PR001142,2021-08-16,SKU0005,255,1.07,Maintenance
PR001143,2023-01-15,SKU0029,1007,2.39,Material Shortage
PR001144,2021-03-19,SKU0010,352,0.62,None
PR001145,2021-09-05,SKU0013,1755,14.64,Material Shortage
PR001146,2020-12-26,SKU0004,1544,0.39,Maintenance
PR001147,2022-05-01,SKU0024,523,0.02,Machine Failure
PR001148,2024-03-18,SKU0013,1860,0.32,Labor Issue
PR001149,2021-02-17,SKU0012,949,2.99,None
PR001150,2021-08-30,SKU0005,755,1.18,Material Shortage
PR001151,2023-03-19,SKU0010,1717,1.19,Maintenance
PR001152,2022-11-17,SKU0028,283,6.2,Maintenance
PR001153,2024-10-24,SKU0024,1335,5.04,Labor Issue
PR001154,2020-08-21,SKU0009,98,0.75,Maintenance
PR001155,2019-08-13,SKU0020,196,0.47,Maintenance
PR001156,2023-04-03,SKU0007,481,3.77,Labor Issue
PR001157,2024-11-30,SKU0002,877,4.73,None
PR001158,2021-04-20,SKU0022,1249,1.56,Machine Failure
PR001159,2023-12-20,SKU0024,1868,1.99,Machine Failure
PR001160,2020-12-14,SKU0028,614,0.59,Material Shortage
PR001161,2022-01-11,SKU0023,617,3.23,None
PR001162,2019-05-05,SKU0007,1388,2.0,Material Shortage
PR001163,2021-12-28,SKU0008,367,1.4,Machine Failure
PR001164,2022-07-03,SKU0007,569,0.12,Labor Issue
PR001165,2023-10-17,SKU0021,589,4.95,Maintenance
PR001166,2019-01-30,SKU0023,1098,1.91,Machine Failure
PR001167,2024-07-10,SKU0029,1065,0.43,None
PR001168,2020-05-09,SKU0014,421,1.86,Machine Failure
PR001169,2023-05-29,SKU0026,835,2.26,None
PR001170,2020-12-18,SKU0019,1204,1.49,None
PR001171,2021-10-13,SKU0005,544,2.53,None
PR001172,2022-08-30,SKU0023,70,1.74,Material Shortage
PR001173,2020-08-28,SKU0025,1591,5.9,Labor Issue
PR001174,2020-01-10,SKU0018,1128,0.11,Machine Failure
PR001175,2024-05-14,SKU0020,1223,0.22,Labor Issue
PR001176,2021-11-14,SKU0012,1124,0.38,Maintenance
PR001177,2022-09-19,SKU0023,767,2.34,Machine Failure
PR001178,2019-04-26,SKU0017,306,2.07,Labor Issue
PR001179,2024-09-26,SKU0013,1609,4.45,Labor Issue
PR001180,2023-12-07,SKU0002,1706,2.64,Maintenance
PR001181,2024-11-16,SKU0025,376,1.42,None
PR001182,2023-01-22,SKU0013,654,9.62,Machine Failure
PR001183,2023-03-27,SKU0026,677,0.62,Machine Failure
PR001184,2023-06-09,SKU0007,398,3.58,Maintenance
PR001185,2020-11-15,SKU0028,1796,1.11,None
PR001186,2023-01-11,SKU0010,220,2.09,Machine Failure
PR001187,2023-05-19,SKU0023,1618,2.6,Machine Failure
PR001188,2024-12-08,SKU0006,181,2.01,Machine Failure
PR001189,2021-03-20,SKU0003,306,0.3,None
PR001190,2021-09-04,SKU0026,521,1.17,Maintenance
PR001191,2024-10-02,SKU0003,1419,1.65,Machine Failure
PR001192,2022-09-16,SKU0018,1013,3.78,Labor Issue
PR001193,2021-02-22,SKU0011,3,1.17,None
PR001194,2019-08-29,SKU0022,862,5.02,Material Shortage
PR001195,2023-11-14,SKU0020,1937,1.16,Maintenance
PR001196,2023-04-03,SKU0005,847,1.59,Labor Issue
PR001197,2020-04-27,SKU0019,803,3.18,Machine Failure
PR001198,2021-10-09,SKU0022,1304,1.75,Material Shortage
PR001199,2019-07-06,SKU0027,214,6.45,Maintenance
PR001200,2024-02-25,SKU0028,971,2.16,None
